State,Year,ConsumptionType,ConsumptionValue
Colorado,2006,Consumption.Commercial.Geothermal,227
Colorado,2007,Consumption.Commercial.Geothermal,210
Colorado,2008,Consumption.Commercial.Geothermal,185
Colorado,2009,Consumption.Commercial.Geothermal,192
Colorado,2010,Consumption.Commercial.Geothermal,194
Colorado,2011,Consumption.Commercial.Geothermal,230
Colorado,2012,Consumption.Commercial.Geothermal,221
Colorado,2013,Consumption.Commercial.Geothermal,221
Colorado,2014,Consumption.Commercial.Geothermal,221
Colorado,2015,Consumption.Commercial.Geothermal,221
Colorado,2016,Consumption.Commercial.Geothermal,221
Colorado,2017,Consumption.Commercial.Geothermal,221
Colorado,2018,Consumption.Commercial.Geothermal,221
Colorado,2019,Consumption.Commercial.Geothermal,221
Connecticut,1960,Consumption.Commercial.Geothermal,0
Connecticut,1961,Consumption.Commercial.Geothermal,0
Connecticut,1962,Consumption.Commercial.Geothermal,0
Connecticut,1963,Consumption.Commercial.Geothermal,0
Connecticut,1964,Consumption.Commercial.Geothermal,0
Connecticut,1965,Consumption.Commercial.Geothermal,0
Connecticut,1966,Consumption.Commercial.Geothermal,0
Connecticut,1967,Consumption.Commercial.Geothermal,0
Connecticut,1968,Consumption.Commercial.Geothermal,0
Connecticut,1969,Consumption.Commercial.Geothermal,0
Connecticut,1970,Consumption.Commercial.Geothermal,0
Connecticut,1971,Consumption.Commercial.Geothermal,0
Connecticut,1972,Consumption.Commercial.Geothermal,0
Connecticut,1973,Consumption.Commercial.Geothermal,0
Connecticut,1974,Consumption.Commercial.Geothermal,0
Connecticut,1975,Consumption.Commercial.Geothermal,0
Connecticut,1976,Consumption.Commercial.Geothermal,0
Connecticut,1977,Consumption.Commercial.Geothermal,0
Connecticut,1978,Consumption.Commercial.Geothermal,0
Connecticut,1979,Consumption.Commercial.Geothermal,0
Connecticut,1980,Consumption.Commercial.Geothermal,0
Connecticut,1981,Consumption.Commercial.Geothermal,0
Connecticut,1982,Consumption.Commercial.Geothermal,0
Connecticut,1983,Consumption.Commercial.Geothermal,0
Connecticut,1984,Consumption.Commercial.Geothermal,0
Connecticut,1985,Consumption.Commercial.Geothermal,0
Connecticut,1986,Consumption.Commercial.Geothermal,0
Connecticut,1987,Consumption.Commercial.Geothermal,0
Connecticut,1988,Consumption.Commercial.Geothermal,0
Connecticut,1989,Consumption.Commercial.Geothermal,0
Connecticut,1990,Consumption.Commercial.Geothermal,0
Connecticut,1991,Consumption.Commercial.Geothermal,0
Connecticut,1992,Consumption.Commercial.Geothermal,0
Connecticut,1993,Consumption.Commercial.Geothermal,0
Connecticut,1994,Consumption.Commercial.Geothermal,0
Connecticut,1995,Consumption.Commercial.Geothermal,0
Connecticut,1996,Consumption.Commercial.Geothermal,0
Connecticut,1997,Consumption.Commercial.Geothermal,0
Connecticut,1998,Consumption.Commercial.Geothermal,0
Connecticut,1999,Consumption.Commercial.Geothermal,0
Connecticut,2000,Consumption.Commercial.Geothermal,0
Connecticut,2001,Consumption.Commercial.Geothermal,0
Connecticut,2002,Consumption.Commercial.Geothermal,0
Connecticut,2003,Consumption.Commercial.Geothermal,0
Connecticut,2004,Consumption.Commercial.Geothermal,0
Connecticut,2005,Consumption.Commercial.Geothermal,0
Connecticut,2006,Consumption.Commercial.Geothermal,0
Connecticut,2007,Consumption.Commercial.Geothermal,0
Connecticut,2008,Consumption.Commercial.Geothermal,0
Connecticut,2009,Consumption.Commercial.Geothermal,0
Connecticut,2010,Consumption.Commercial.Geothermal,0
Connecticut,2011,Consumption.Commercial.Geothermal,0
Connecticut,2012,Consumption.Commercial.Geothermal,0
Connecticut,2013,Consumption.Commercial.Geothermal,0
Connecticut,2014,Consumption.Commercial.Geothermal,0
Connecticut,2015,Consumption.Commercial.Geothermal,0
Connecticut,2016,Consumption.Commercial.Geothermal,0
Connecticut,2017,Consumption.Commercial.Geothermal,0
Connecticut,2018,Consumption.Commercial.Geothermal,0
Connecticut,2019,Consumption.Commercial.Geothermal,0
District of Columbia,1960,Consumption.Commercial.Geothermal,0
District of Columbia,1961,Consumption.Commercial.Geothermal,0
District of Columbia,1962,Consumption.Commercial.Geothermal,0
District of Columbia,1963,Consumption.Commercial.Geothermal,0
District of Columbia,1964,Consumption.Commercial.Geothermal,0
District of Columbia,1965,Consumption.Commercial.Geothermal,0
District of Columbia,1966,Consumption.Commercial.Geothermal,0
District of Columbia,1967,Consumption.Commercial.Geothermal,0
District of Columbia,1968,Consumption.Commercial.Geothermal,0
District of Columbia,1969,Consumption.Commercial.Geothermal,0
District of Columbia,1970,Consumption.Commercial.Geothermal,0
District of Columbia,1971,Consumption.Commercial.Geothermal,0
District of Columbia,1972,Consumption.Commercial.Geothermal,0
District of Columbia,1973,Consumption.Commercial.Geothermal,0
District of Columbia,1974,Consumption.Commercial.Geothermal,0
District of Columbia,1975,Consumption.Commercial.Geothermal,0
District of Columbia,1976,Consumption.Commercial.Geothermal,0
District of Columbia,1977,Consumption.Commercial.Geothermal,0
District of Columbia,1978,Consumption.Commercial.Geothermal,0
District of Columbia,1979,Consumption.Commercial.Geothermal,0
District of Columbia,1980,Consumption.Commercial.Geothermal,0
District of Columbia,1981,Consumption.Commercial.Geothermal,0
District of Columbia,1982,Consumption.Commercial.Geothermal,0
District of Columbia,1983,Consumption.Commercial.Geothermal,0
District of Columbia,1984,Consumption.Commercial.Geothermal,0
District of Columbia,1985,Consumption.Commercial.Geothermal,0
District of Columbia,1986,Consumption.Commercial.Geothermal,0
District of Columbia,1987,Consumption.Commercial.Geothermal,0
District of Columbia,1988,Consumption.Commercial.Geothermal,0
District of Columbia,1989,Consumption.Commercial.Geothermal,0
District of Columbia,1990,Consumption.Commercial.Geothermal,0
District of Columbia,1991,Consumption.Commercial.Geothermal,0
District of Columbia,1992,Consumption.Commercial.Geothermal,0
District of Columbia,1993,Consumption.Commercial.Geothermal,0
District of Columbia,1994,Consumption.Commercial.Geothermal,0
District of Columbia,1995,Consumption.Commercial.Geothermal,0
District of Columbia,1996,Consumption.Commercial.Geothermal,0
District of Columbia,1997,Consumption.Commercial.Geothermal,0
District of Columbia,1998,Consumption.Commercial.Geothermal,0
District of Columbia,1999,Consumption.Commercial.Geothermal,0
District of Columbia,2000,Consumption.Commercial.Geothermal,0
District of Columbia,2001,Consumption.Commercial.Geothermal,0
District of Columbia,2002,Consumption.Commercial.Geothermal,0
District of Columbia,2003,Consumption.Commercial.Geothermal,0
District of Columbia,2004,Consumption.Commercial.Geothermal,0
District of Columbia,2005,Consumption.Commercial.Geothermal,0
District of Columbia,2006,Consumption.Commercial.Geothermal,0
District of Columbia,2007,Consumption.Commercial.Geothermal,0
